word,type,uses
"Integral Yoga Institute Princeton","place",1
"Ujjal Bhattacharjee","name",1
"The Peace Place","place",1
"Zenergy Wellness Center","place",1
"Subway","establishment",3
"A Google User","name",146
"Healthabit Natural Foods","establishment",1
"Big Blue Kinston","establishment",1
"David broadway,jr","name",2
"Piggly Wiggly","establishment",1
"Donald Brewer","name",1
"U.S. Cellular","establishment",1
"Lenoir Community College Bookstore","establishment",1
"Skyler Fullerton","name",1
"FAMILY DOLLAR","establishment",3
"Russ Mccall","name",1
"Chef & the Farmer","establishment",1
"Charles Register","name",1
"Sarah Whitmore","name",1
"Matthew Schock","name",1
"Bill Matthias","name",1
"Laurie Watson","name",1
"Lester's Hardware Company Inc","establishment",1
"Food Lion Grocery Store","establishment",1
"NAPA Auto Parts Barnes Motor & Parts Company","establishment",1
"Rite Aid Pharmacy","establishment",3
"kelly johnson","name",1
"La Petite Boutique","establishment",1
"Neuse Sport Shop","establishment",1
"Brent McLamb","name",1
"Daniel Gardiner","name",1
"Michael Strain","name",1
"Jon Bassett","name",1
"Jon Harpst","name",1
"H Stadiem Inc","establishment",1
"George B","name",1
"Kangaroo Express","establishment",1
"ATM Kangaroo Express 3076","establishment",1
"Mr. Tire Auto Service Centers","establishment",1
"Cindy Askew","name",1
"Rent-A-Center","establishment",1
"Sherwin-Williams Paint Store","establishment",2
"Ricky García","name",1
"NAPA Auto Parts Genuine Parts Company","establishment",1
"Jesse Lenhart","name",1
"Roberto Cota","name",1
"Fidelmar Alcantar","name",1
"Walmart Supercenter","establishment",6
"Jeremy Morgan","name",1
"Juan Rios","name",1
"Amy Oliver","name",1
"Junting W","name",1
"Darcey Martinez","name",1
"Ammmon Neilson","name",1
"Daniel Peterson","name",1
"Justina Crickmore","name",1
"Cameron Shipley","name",1
"The Home Depot","establishment",2
"Mike Price","name",1
"Nick Simeone","name",1
"Maria Allan","name",1
"Greg B","name",1
"Jonathan Speters","name",1
"Kohl's","establishment",1
"Kaligh Bailey","name",1
"Kris Larabee","name",1
"Harmons West","establishment",1
"Valerie Carrillo","name",1
"Eran EranG","name",1
"Dan Gudmundson","name",1
"Jacqueline Link","name",1
"USANA Health Sciences, Inc.","establishment",1
"Boyd Bastian","name",1
"Alvin Mendoza","name",1
"Jorge Kauffman","name",1
"Froylan Galiana","name",1
"Andres Juarez","name",1
"T-Mobile West Valley City","establishment",1
"Luis Onofre","name",1
"Robert Paddock","name",1
"Backcountry.com Retail Store","establishment",1
"Mike Francis","name",1
"Huntley Campbell","name",1
"Dirk Linderman","name",1
"Ryan Wyble","name",1
"Jacob Wiglama","name",1
"Henry Day Ford","establishment",1
"Nicole Hansen","name",1
"Drex Dutson","name",1
"Heather McDonald","name",1
"Dallace Brown","name",1
"Maelee Brunner","name",1
"Impact Guns","establishment",1
"M Reed","name",1
"Brad Buckmiller","name",1
"Michael Monsen","name",1
"John Nowoslawski","name",1
"Distric Location","name",1
"Toys""R""Us","establishment",1
"Sommer Congdon","name",1
"Chandler Durrant","name",1
"Michael Munn","name",1
"Michael Zaro","name",1
"Lowe's Home Improvement","establishment",2
"debra howland","name",1
"Casey Walker","name",1
"Kasey Schuster","name",1
"Nate Daniel","name",1
"Paul Jackson","name",1
"Big 5 Sporting Goods","establishment",1
"Macy's","establishment",2
"Gabby Santana","name",1
"Donald Smith","name",1
"Francisco Garcia","name",1
"Zurchers Party & Wedding Store","establishment",1
"Michelle Wood","name",1
"Nichelle Koss","name",1
"paul perschon","name",1
"Claudia Bernal","name",1
"Danielle M","name",1
"Discount Tire Store - W Valley City, UT","establishment",1
"Suzanne Mueller","name",1
"JUSTIN CASE","name",1
"Neil Gupta","name",1
"Juan Pena","name",1
"James Crotts","name",1
"The NPS Store","establishment",1
"Susann Marcial","name",1
"Shahid Sulahria","name",1
"Kelsey Beck","name",1
"Chet Budhathoki","name",1
"Timothy Marti","name",1
"Ross Dress for Less","establishment",3
"Angelica Jacquez","name",1
"Lynna Neang","name",1
"Todd Grace","name",1
"AJ CurryVindaloo","name",1
"Joshua Brooks","name",1
"Stimson Lumber Co","establishment",1
"Freeburg Sales & Services","establishment",1
"Claude's Body Shop","establishment",1
"Tomi Hasty","name",1
"Michael K. Smith","name",1
"Brandon Boutwell","name",1
"Amanda Honeycutt","name",1
"Randy Mullenix","name",1
"Belk","establishment",1
"William I. Dawson","name",1
"Tractor Supply Co.","establishment",1
"Robert Bass","name",1
"Goody's","establishment",1
"Hibbett Sports","establishment",3
"Cato","establishment",1
"American Spirit Wear","establishment",1
"Unique Clothing & Accessories","establishment",1
"Springfield Cleaners & Laundry","establishment",1
"Main Street Boutique And Gifts","establishment",1
"Custom Alterations N Cleaners","establishment",1
"Dockers","establishment",1
"RancheroWear","establishment",1
"Stitched In Tennessee Embroidery & More","establishment",1
"National Geographic Store","establishment",1
"Andrew Addison","name",1
"Nancy Edwards","name",1
"Gap","establishment",2
"Scott Stadum","name",1
"T-Mobile Washington","establishment",1
"michelle minton","name",1
"Sarah Factor","name",1
"Katherine Watier Ong","name",1
"City Sports","establishment",1
"Vishal Sinha","name",1
"Diego Chojkier","name",1
"Barnes & Noble","establishment",1
"Noah Resnick","name",1
"Jason Feimster","name",1
"Daniel Elliott","name",1
"Matt Toon","name",1
"Summer Love","name",1
"Whole Foods Market","establishment",1
"Meg Smith","name",1
"Carlos DeFarmer","name",1
"Jim Schultz","name",1
"Danielle Ricks","name",1
"Ezana Abraham","name",1
"Camilla Peterson","name",2
"Aviva Musicus","name",1
"dectra dectra","name",1
"Petrina Baldwin","name",1
"Dee Kayy","name",1
"Staples","establishment",2
"Sankaya Hall","name",1
"Andrew Blair-Stanek","name",1
"dumb dalia","name",1
"Baked & Wired","establishment",1
"Scotty ST","name",2
"Philip Walls","name",1
"Caroline Fernandez","name",1
"Moira Dhaliwal","name",1
"JC Kollmorgen","name",2
"The UPS Store","establishment",2
"Dale Kim","name",1
"Lori Jackson","name",1
"Blick Art Materials","establishment",1
"Laz Pataz","name",1
"Katie E","name",1
"Judith Miller","name",1
"John Blee","name",1
"George Edwards","name",1
"John Mark Stephens","name",1
"Madelen McIntosh","name",1
"Stacey Regner","name",1
"FoBoGro","establishment",1
"Colleen Grant","name",1
"Briana Whitfield","name",1
"Alyx Mark","name",2
"Brad Jordan","name",1
"Paper Source","establishment",1
"Alex DiCaprio","name",1
"Nathan S Ivey","name",1
"JR CIGAR","establishment",1
"Michael Yancey","name",1
"Bontressa Lovett","name",1
"CVS Pharmacy","establishment",1
"Buffalo Exchange","establishment",1
"Forrest Miller","name",1
"Susannah Friemel","name",1
"Bridge Street Books","establishment",1
"Jorge Molina","name",1
"Kenneth Hau","name",1
"Fahrney's Pens Inc","establishment",1
"Louis Smith","name",1
"Scott Proper","name",1
"Edward Blum","name",1
"Julian Hipkins","name",1
"Bed Bath & Beyond","establishment",1
"Morgane Renoir","name",1
"Charlotte Lewis","name",1
"Mary M","name",1
"Matthew Bennett","name",1
"Willow Creek Advanced Tech Inc","establishment",1
"Little Horse Trading Co","establishment",1
"Wareham","city",18
"Target Pharmacy","establishment",1
"Ron Lindholm","name",1
"Joseph Titlebaum","name",1
"AT&T","establishment",1
"Cranberry Highway","street",8
"Target","establishment",3
"Belsten Chua","name",1
"L.L.Bean","establishment",1
"Graham Mogollon","name",1
"Michael Patten","name",1
"Famous Footwear","establishment",1
"Marion Road","street",2
"Main Street","street",2
"CVS Pharmacy - Photo","establishment",1
"Derek Trum","name",1
"mark gomes","name",1
"Elm Street","street",1
"Old Company Store","establishment",1
"Michaels","establishment",1
"Old Navy","establishment",2
"Dunkin' Donuts","establishment",1
"Kristen Garlet","name",1
"Sean Smith","name",1
"Onset Village Music","establishment",1
"AKJ Auto Sales","establishment",1
"Sue L","name",1
"Mark Weatherby","name",1
"jenna ohearn","name",1
"Petco Animal Supplies","establishment",1
"Aubuchon Hardware","establishment",1
"Tow Road","street",1
"Factory Five Racing, Inc.","establishment",1
"Ramoon HxH","name",1
"Neil Gouveia","name",1
"Wareham Crossing","establishment",1
"South Coast Hearth & Patio","establishment",1
"Surrey Place","street",2
"Perry","city",4
