Simon Bolivar, Monterrey.
Victoria, Tehran International Airport.
Saint Exupery Airport, Abuja Airport.
Seville, Baltimore Washington.
Dallas Love-Field, Stavanger.
Chengdu International Airport, Lisbon Portela.
Johannesburg, Liverpool John Lennon.
Ho-Chi-Minh-City International, Belo Horizonte Airport.
Adolfo Lopez Mateos International, Chengdu International Airport.
Jorge Chavez International, Singapore Airport.
Cote-d'Azur Airport, Edinburgh.
Charles-de-Gaulle International, Saint Louis.
Marrakech International Airport, Saint-Petersburg.
San-Diego, Cairo.
Wujiaba, Jean Lesage International.
Gardermoen, Chennai Airport.
Nottingham Airport, Newcastle International.
Beauvais, Cape-Town.
Cleveland Hopkins International, Bilbao.
Boryspil, New-Orleans International Airport.
Prague International, O'Hare International Airport.
Berlin, Budapest Airport.
Izmir International, Sydney.
Nairobi, Santos Dumont.
Raleigh Durham, Federal de Bachigualato.
Bogota International, Warsaw.
Logan, Victoria.
Vienna, Pudong International.
Helsinki Vantaa International, Sabiha Gokcen.
Honolulu Airport, Manila.
Darwin, Gimpo Airport.
Portland, Memphis.
Austin Airport, Barajas.
Berlin Tegel, Birmingham.
Beijing International, Beijing Airport.
Newark, Mehrabad.
Dallas, Lima.
London Heathrow Airport, Orlando.
Glasgow, Raleigh Durham.
Rio-de-Janeiro, Catania.
Marseille Provence, Prague Airport.
Casablanca, Galileo Galilei International.
Cincinnati Northern Kentucky, Nottingham Airport.
Abuja International, Tampa.
Seattle International, Billy Bishop International.
Lanzarote International, Beauvais Tille International.
Ottawa, Marrakech Airport.
Helsinki, Guarulhos.
Manuel Crescencio Rejon, Stuttgart.
Beijing Capital, Dublin.
Liverpool John Lennon, Marseille Airport.
Mexico-City, Adelaide.
Marrakech Airport, Beijing International.
Soekarno-Hatta, Rhodes.
Orange-County International Airport, Bologna.
Dubai International, Adolfo Lopez Mateos Airport.
L A X International Airport, Belo Horizonte International.
Hangzhou, Stanfield.
McCarran, William P Hobby.
Ninoy Aquino Airport, Ruzyne.
Djerba Zarzis, Montreal.
Djerba, Malta.
John F Kennedy Airport, Orange-County Airport.
Sepang, Lanzarote International.
Marseille International Airport, Charleroi Airport.
Geneva, Milwaukee.
Ankara, Xiaoshan.
Palermo, Honolulu International Airport.
New Orleans Airport, Cagliari.
Midway, Hongqiao Airport.
Helsinki Vantaa Airport, Helsinki Vantaa International.
Recife, Townsville.
Jean Lesage Airport, Copenhagen International Airport.
Porto Alegre, Lambert Saint-Louis.
Bole, Osaka.
Derby Airport, Hanover.
Bergen, Amsterdam.
Lyon International Airport, Chennai International.
Kunming, Ronald-Reagan.
Catania Fontanarossa, Wold Chamberlain.
Alicante, Guangzhou Airport.
Bari International Airport, Trondheim Vaernes.
Belo Horizonte International, Glasgow.
Laguardia, Simon Bolivar.
Palma-de-Mallorca, Hartsfield Jackson.
Saint-John's, Chicago O'Hare Airport.
Hartsfield Jackson, Sharm el Sheikh.
Bordeaux, Baiyun.
Munich Airport, Geneva Cointrin.
Las-Palmas, Salgado Filho.
Cleveland International, Jorge Newbery.
Milwaukee, Cleveland Airport.
John G Diefenbaker, Tenerife.
Charles-de-Gaulle Airport, Beijing Capital.
Wold Chamberlain, Xi'an.
Kuala-Lumpur, Gothenburg Landvetter.
Ronald-Reagan Washington-National, Pittsburgh.
Puerto del Rosario, Brisbane International.
Los-Rodeos, Phoenix.
Hong-Kong International, Luis Munoz Marin.
Tenerife South, Ronald-Reagan Washington-National.
Toluca, Gardermoen.
Narita, Zurich.
Congonhas, Thurgood Marshall.
Cairns, San-Diego.
Haneda, Nnamdi Azikiwe.
Denver International Airport, Nice Airport.
Hollywood, Cincinnati Northern Kentucky.
Dusseldorf Airport, Suvarnabhumi.
Jakarta, Cleveland Hopkins International.
Gothenburg, Toronto.
San-Pablo, Berlin.
Vancouver, Flesland.
New-Orleans International Airport, Quatro de Fevereiro.
Galileo Galilei International, Stockholm Arlanda.
Brussels, Jakarta.
El Prat Airport, Rome Airport.
Guarulhos, Austin International Airport.
George-Bush Intercontinental, Nottingham International Airport.
Euro, Naples.
Heraklion Airport, Orange-County International Airport.
Copenhagen Airport, Recife.
Linate, Ankara.
Malaga, Winnipeg Airport.
Tehran International Airport, Deputado Luis Eduardo Magalhaes.
Mumbai, Dusseldorf Airport.
Hermosillo, Philadelphia.
Xianyang, Larnaca.
Honolulu International Airport, Sky Harbor.
Houari Boumedienne International, Williamtown.
Sabiha Gokcen, Munich Airport.
Stockholm Arlanda, Kunming.
Shenzhen, Santa-Cruz de Tenerife.
Carthage International, Dusseldorf International.
Toronto City, John F Kennedy International.
Saskatoon, Hermosillo.
Oakland, Schonefeld.
Hongqiao International, Houston.
Minneapolis Saint-Paul, Carthage Airport.
Durban, Bergamo.
Birmingham, Louis Armstrong International Airport.
Orlando, Saint Exupery Airport.
Thessaloniki, Quebec City.
Hobart, El Prat Airport.
Gustavo Diaz Ordaz, Sao Paulo.
Schiphol, Denver Airport.
Thurgood Marshall, Marrakech Menara.
San Juan, Honolulu Airport.
Riga, Wayne County.
Houston, Leonardo da-Vinci.
Guangzhou Airport, Blagnac Airport.
Winnipeg Airport, Fiumicino.
Cincinnati, Winnipeg International Airport.
Blagnac International, Mohammed The Fifth International.
Cologne, Kiev International Airport.
Indianapolis, Basel Mulhouse Freiburg International.
San-Jose, Logan.
Kelowna, Buenos-Aires.
Gold-Coast, Boryspil.
Los-Angeles, Cologne.
William P Hobby, Adolfo Lopez Mateos International.
Carthage Airport, Gold-Coast.
Chicago, Saskatoon.
Algiers, Bari International Airport.
Abuja Airport, Oakland.
Nnamdi Azikiwe, Pulkovo.
Incheon, Washington.
Osaka, Mulhouse Airport.
Denver Airport, Algiers.
Santos Dumont, Izmir Airport.
Federal de Bachigualato, Newark.
Mugla, George-Bush Intercontinental.
Jiangbei, Tokyo.
London Gatwick, Portland.
Hanover, Tehran Airport.
Lambert Saint-Louis, Frederic Chopin.
Tijuana, Jorge Chavez Airport.
Seoul, General Mitchell.
Mehrabad, San-Pablo.
Shuangliu, Sepang.
Melbourne, Maiquetia.
Comodoro Arturo Merino Benitez, Seville.
Fiumicino, Singapore International.
Maiquetia, Casablanca.
Jomo Kenyatta, Berlin Tegel.
Budapest International, Ho-Chi-Minh.
Bari Airport, John G Diefenbaker.
Tunis, Wujiaba.
Kiev International Airport, Carthage International.
Khartoum, Porto Alegre.
Wayne County, McCarran.
Distrito-Federal, James Armstrong Richardson.
Kansas-City, Brussels South Charleroi Airport.
Bergamo, Toluca.
Cairo, Caracas.
Newcastle International, Guangzhou International Airport.
Toronto, Santiago.
Brisbane Airport, Ataturk.
Townsville, Nuremberg.
Dulles, Manuel Crescencio Rejon.
Valencia, Merignac.
Billy Bishop International, Geneva.
Mohammed The Fifth Airport, Doha.
Istanbul, Gran Canaria.
Sydney, Venice Marco Polo.
Louis Armstrong Airport, Newcastle Airport.
Los-Cabos, Ottawa.
Pulkovo, Langenhagen.
Hong-Kong Airport, Seattle Tacoma.
Rome Ciampino, Chicago.
Riyadh, Seattle Airport.
King Khalid, Sacramento.
Domodedovo, Dallas Fort-Worth International.
Regina, International.
Cagliari Elmas, Moscow.
Frankfurt, Sheremetyevo.
Zurich, Bole.
Addis Ababa, Louis Armstrong Airport.
Salt-Lake-City, Barcelona.
Mulhouse International, Tenerife South.
Dallas Fort-Worth International, Oslo.
Dubai Airport, Charlotte Douglas.
Bologna, Bonn.
Hongqiao Airport, Perth.
Toulouse Airport, Austin Airport.
Malpensa, Mohammed The Fifth Airport.
Lyon Airport, Cote-d'Azur International.
El-Dorado, Jean Lesage Airport.
Chengdu Airport, Salt-Lake-City.
Quatro de Fevereiro, Pudong Airport.
Monastir, San-Jose.
London Stansted Airport, Tancredo Neves.
Caracas, Merida.
Faro, Dallas Love-Field.
Boston, Los-Angeles.
Euro Airport, Halifax Airport.
John F Kennedy International, Bristol.
Montreal Trudeau, Basel Mulhouse Freiburg Airport.
Perth, Distrito-Federal.
Changi, Copenhagen Airport.
Henri Coanda, Nairobi.
Metropolitan Oakland, Gimpo International.
Athens, Xianyang.
Luxor, Kuala-Lumpur.
Halifax Airport, Macdonald Cartier International.
Nashville, Djerba Zarzis.
L A X Airport, Blagnac International.
Guadalajara, Jeju.
Detroit-Metropolitan, Hong-Kong Airport.
Winnipeg International Airport, Saint-John's.
Antalya, Luanda.
Budapest Liszt Ferenc, Charles-de-Gaulle International.
Larnaca, Guararapes.
Taipei, Ninoy Aquino International.
Pisa, L A X Airport.
Marrakech Menara, Ibiza.
Austin International Airport, Orio al Serio.
Ataturk, Kyiv.
Launceston, San-Francisco.
Cagliari, Sir Seewoosagur Ramgoolam.
London Luton, Raleigh Airport.
Schonefeld, Dallas.
El Prat International, Narita.
Venice Marco Polo, Heraklion Airport.
Munich International Airport, Edmonton.
Basel Airport, Tunis.
Izmir Airport, Addis-Ababa.
Macdonald Cartier International, Lyon Airport.
Beauvais Tille Airport, Taoyuan.
Kansai, London Stansted International.
Toulouse International, London Gatwick.
Guangzhou International Airport, Mumbai.
Halifax International, Euro Airport.
Merignac, Palermo.
Budapest Airport, Launceston.
Rome Airport, Puerto-Vallarta.
Raleigh International Airport, Tijuana.
Ho-Chi-Minh-City Airport, Austin Bergstrom.
Bao'an, L A X International Airport.
Cancun, Valencia.
Tenerife, Marseille International Airport.
Esenboga, Chengdu Airport.
Mohammed The Fifth International, Catania Fontanarossa.
Calgary, El-Dorado.
Manchester, Regina.
Monterrey, Jorge Chavez International.
Ministro Pistarini, Johannesburg.
Marseille Airport, Domodedovo.
Ruzyne, Galeao.
Montreal, Cote-d'Azur Airport.
Nottingham International Airport, Laguardia.
Salgado Filho, Palma-de-Mallorca.
International, Adnan Menderes International.
Seattle Tacoma, Bergen.
Adelaide, Puerto-del-Rosario.
Chicago O'Hare Airport, Heraklion International Airport.
Derby International, Schiphol.
Vnukovo, Rio-de-Janeiro.
Ninoy Aquino International, Lyon International Airport.
Leicester, Incheon.
Manila, Euro.
Miami, Lagos.
Rhodes, Jiangbei.
Singapore International, Hobart.
Cleveland Airport, Rome Ciampino.
Brussels South Charleroi International, Dalaman.
San-Francisco, Shanghai.
Austin Bergstrom, Toulouse Airport.
John-Wayne, Miami.
Hamburg, Adnan Menderes Airport.
Taoyuan, Cincinnati.
Puerto-Vallarta, Soekarno-Hatta.
Milan, Ho-Chi-Minh-City Airport.
Atlanta, Taipei.
Copenhagen International Airport, Cleveland Hopkins Airport.
Newark Liberty, Turin.
Belo Horizonte Airport, Abuja International.
Beauvais Tille International, Brisbane Airport.
Sao-Paulo, Canberra.
Langenhagen, Cancun.
Pearson, Hurghada.
Bangkok, Cleveland International.
Lanzarote Airport, Prague International.
Luis Munoz Marin, Atlanta.
Dallas Fort-Worth Airport, Hong-Kong International.
Belfast, Las-Vegas.
Merida, Midway.
Nice International, Orange-County.
Basel Mulhouse Freiburg Airport, Rome International Airport.
James Armstrong Richardson, Kelowna.
Pudong International, New Orleans Airport.
Las-Palmas de Gran Canaria, Las-Palmas.
Seattle Airport, Istanbul.
Delhi, Darwin.
Frederic Chopin, San Juan.
Macdonald Cartier Airport, Bao'an.
Ronald-Reagan, Jeddah.
Houari Boumedienne Airport, Bordeaux.
Beijing Airport, Budapest International.
San-Antonio, King Abdulaziz Airport.
Tehran Airport, Izmir International.
Blagnac Airport, Delhi.
Louis Armstrong International Airport, Derby Airport.
Jorge Newbery, East Midlands.
Kiev Airport, Dallas Fort-Worth Airport.
Buenos-Aires, Helsinki Vantaa Airport.
Sharm el Sheikh, Ninoy Aquino Airport.
Cape-Town, Shenzhen.
Warsaw, Leicester.
Barcelona, Nashville.
Hurghada, Haneda.
Stavanger, Basel Airport.
Newcastle Airport, Seattle International.
Francisco de Santo Carneiro, Hollywood.
Raleigh Airport, Munich International Airport.
Shanghai, O'Hare Airport.
Washington, Toulouse International.
Mulhouse Airport, Mugla.
Las-Vegas, Ministro Pistarini.
Madrid, Lanzarote Airport.
Edmonton, Chicago O'Hare International.
Baiyun, Vancouver.
Chicago O'Hare International, Durban.
Pittsburgh, Linate.
Jorge Chavez Airport, Guadalajara.
Lagos, Galileo Galilei Airport.
Heraklion International Airport, Mexico-City.
Adolfo Lopez Mateos Airport, Tambo.
Guararapes, Mulhouse International.
Ho-Chi-Minh, El Prat International.
Orange-County, Budapest Liszt Ferenc.
Singapore Airport, Dulles.
Xiaoshan, Malaga.
Jean Lesage International, King Khalid.
Edinburgh, Chongqing.
Sacramento, Bogota International.
King Abdulaziz Airport, Brussels.
Quebec City, Denver International Airport.
Leonardo da-Vinci, Brussels South Charleroi International.
O'Hare Airport, San-Antonio.
Moscow, Porto.
Cleveland Hopkins Airport, Basel International Airport.
Canberra, Gothenburg.
Culiacan, Saint Exupery International Airport.
Prague Airport, Brasilia.
Bogota Airport, Hongqiao International.
Trondheim Vaernes, Pearson.
Sky Harbor, Houari Boumedienne International.
Bristol, Dubai Airport.
Tambo, Melbourne.
O'Hare International Airport, Houari Boumedienne Airport.
Nice Airport, Kiev Airport.
Chongqing, Murtala Muhammed.
Galileo Galilei Airport, Luxor.
Basel Mulhouse Freiburg International, Beauvais.
Charlotte, Los-Rodeos.
Tancredo Neves, Paris Orly.
Suvarnabhumi, Los-Cabos.
Naples, Boston.
Chennai Airport, Vienna.
Fuerteventura, Pierre Elliott Trudeau.
Chennai International, Montreal Trudeau.
Galeao, Cagliari Elmas.
Nuremberg, Charlotte.
Kyiv, Bari Airport.
Billy Bishop Airport, Toronto City.
Brasilia, Helsinki.
Saint Exupery International Airport, John F Kennedy Airport.
Jeju, Calgary.
Flesland, Derby International.
Dusseldorf International, Hamburg.
London Heathrow International, Bogota Airport.
Porto, Ho-Chi-Minh-City International.
Bonn, Jomo Kenyatta.
Saint-Petersburg, John-Wayne.
Santiago, Malpensa.
Doha, London Heathrow Airport.
Gothenburg Landvetter, Marseille Provence.
Charleroi International Airport, Thessaloniki.
Phoenix, Stockholm.
Fort-Lauderdale Airport, Athens.
Geneva Cointrin, General Mariano Escobedo.
Santa-Cruz de Tenerife, Charles-de-Gaulle Airport.
Orio al Serio, Vnukovo.
Luanda, Gustavo Diaz Ordaz.
Lisbon Portela, King Abdulaziz International.
Rome International Airport, Charleroi International Airport.
Pudong Airport, Manchester.
Amsterdam, Esenboga.
Cote-d'Azur International, Henri Coanda.
Charleroi Airport, Milan.
Sheremetyevo, Macedonia.
Basel International Airport, Newark Liberty.
Ibiza, Macdonald Cartier Airport.
Tampa, Seoul.
Saint-Louis, Riyadh.
London Stansted International, Khartoum.
Tokyo, Monastir.
Turin, Fuerteventura.
Deputado Luis Eduardo Magalhaes, Alicante.
Salvador, Pisa.
Dublin, Halifax International.
Memphis, Antalya.
Malta, Cairns.
Philadelphia, Faro.
General Mitchell, London Heathrow International.
Baltimore Washington, Dubai International.
Xi'an, Salvador.
Pierre Elliott Trudeau, London Luton.
Brisbane International, Beauvais Tille Airport.
Adnan Menderes Airport, Culiacan.
Williamstown, Comodoro Arturo Merino Benitez.
Jeddah, Billy Bishop Airport.
Fort-Lauderdale International, Bangkok.
King Abdulaziz International, Las-Palmas de Gran Canaria.
Orange-County Airport, Fort-Lauderdale International.
Paris Orly, Minneapolis Saint-Paul.
Stuttgart, Kansai.
Lima, London Stansted Airport.
Bilbao, Shuangliu.
Catania, Fort-Lauderdale Airport.
Gran Canaria, Raleigh International Airport.
Oslo, Detroit-Metropolitan.
Stanfield, Belfast.
Macedonia, Madrid.
Dalaman, Metropolitan Oakland.
Murtala Muhammed, Djerba.
Brussels South Charleroi Airport, Marrakech International Airport.
Gimpo International, Changi.
Stockholm, Riga.
Adnan Menderes International, Kansas-City.
General Mariano Escobedo, Hangzhou.
Barajas, Congonhas.
East Midlands, Frankfurt.
Charlotte Douglas, Indianapolis.
Gimpo Airport, Nice International.
Montreal Dorval Airport, Montreal Dorval Airport.
Eleven Ninety Eight East Arques Avenue,  Sunnyvale California.
Thirty Nine Eighty Four Pepsi Cola Drive,  Melbourne Florida.
Eleven Eleven Macarthur Boulevard,  Suite One Hundred,  Mahwah New-Jersey.
Five Oh Five First Avenue South,  Suite Seven Hundred,  Seattle Washington.
Fifteen Hundred University Street,  Suite Nine Thirty Five,  Montreal Quebec.
Nuance Brazil,  Fifty Two Hundred Avenida Major Sylvio Magalhaes Padilha,  Quebec Building,  Sao-Paulo.
P O Box Two Seventeen Triester Strasse Sixty Four,  Vienna Austria.
Nuance Communications International,  Guldensporenpark Building D Thirty Two,  Merelbeke Belgium.
Ten Kackertstrasse,  Aachen Germany.
One Hundred Soeflinger Strasse,  Ulm Germany.
Nuance Communications Ireland Limited,  Fitzwilliam Place,  Dublin Ireland.
Nuance Recognita,  Vaci Utca,  Budapest Hungary.
Nuance Communications Switzerland,  Thirty Baslerstrasse,  Zurich Switzerland.
Twickenham Saint George's House,  Three Saint George's Place,  London England.
Wethered House,  Pound Lane,  Marlow England.
One Twenty Four Walker Street,  Level Eleven,  North Sydney Australia.
Nuance Software Technology,  Tower A,  Gateway Plaza,  Xiaguangli,  East Third Ring North Road,  Beijing China.
Room Three Oh Four,  Found Tower,  One oh One Zhulin Road,  Pudong,  Shanghai China.
Nuance India,  Second Floor,  Room Twenty Three,  One Hundred,  Inner Ring Road,  Koramangala Bangalore India.
Regus Business Center Level Twelve,  Building Number Eight,  Tower C,  Cyber City,  Gurgaon Haryana India.
Nuance Communications Japan,  Hibiya Building One One Seven Uchisaiwai-cho Chiyoda-ku,  Tokyo Japan.
Nuance Communications Hong Kong,  Room Seven Oh Five Seven Oh Six,  Seventh Floor,  Ten Sixty Three King's Road,  Hong Kong.
Nuance Communications Korea Limited,  Seventh Floor,  Metro Building Thirteen Thirty Nine Seocho-dong Seocho-gu,  Seoul Korea.
I am powered by Nuance Vocalizer.
Hi,  I'm Sara.
Hello,  my name is Sara.
Abigail Kroch, Abigail Kroch.
Agata Fabiani, Agata Fabiani.
Alan Bell, Alan Bell.
Albert de Groot, Albert de Groot.
Albertus Magnus, Albertus Magnus.
Alessandro Fabiani, Alessandro Fabiani.
Alexander Graham Bell, Alexander Graham Bell.
Allison Dufty, Allison Dufty.
Andy Breen, Andy Breen.
Andy Mauro, Andy Mauro.
Anthony Mancini, Anthony Mancini.
Arnd Weil, Arnd Weil.
Bertrand Serlet, Bertrand Serlet.
Bob Mansfield, Bob Mansfield.
Brant Ward, Brant Ward.
Brett Chisholm, Brett Chisholm.
Call Stearing, Call Stearing.
Carey Radebaugh, Carey Radebaugh.
Caroline Henton, Caroline Henton.
Charles Wheatstone, Charles Wheatstone.
Christian Kratzenstein, Christian Kratzenstein.
Cliff Kushler, Cliff Kushler.
Dan Faulkner, Dan Faulkner.
Dan Jurafsky, Dan Jurafsky.
Dan Nordale, Dan Nordale.
Darren Meyer, Darren Meyer.
David Vazquez, David Vazquez.
